title,release_date,platforms,genres
Balls of Steel,1997-12-12,"Classic Mac OS, Microsoft Windows","casual game, pinball video game, simulation video game"
Ballyhoo,1985-12-15,"Amstrad CPC, Atari 8-bit family, Atari ST, Classic Mac OS, Commodore 64, DOS, TRS-80 Model I, Texas Instruments TI-99/4A",interactive fiction
Band Hero,2009-11-25,"Nintendo DS, PlayStation 3, PlayStation 4, Wii, Xbox One",music video game
Bandits,1982-01-01,"Atari 8-bit family, Commodore 64",shoot 'em up
Bangai-O Spirits,2008-03-19,Nintendo DS,action game
Banjo-Kazooie,1998-06-29,"Nintendo 64, Xbox One","3D platform game, Christmas video game, collect-a-thon platformer"
Banjo-Kazooie: Grunty's Revenge,2003-09-12,Unknown,"isometric platformer, platformer"
Banjo-Kazooie: Nuts & Bolts,2008-11-11,Xbox One,"action-adventure game, construction and management simulation, vehicular combat game"
Banjo-Pilot,2005-01-12,Unknown,racing video game
Banjo-Tooie,2000-11-20,"Nintendo 64, Xbox One","action-adventure game, platformer"
Bank Panic,1984-01-01,"MSX, SG-1000, arcade video game",shoot 'em up
Barbarian,1987-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, MSX, ZX Spectrum",platformer
Barbarian: The Ultimate Warrior,1987-01-01,"Amstrad CPC, Commodore 64, DOS, ZX Spectrum",fighting game
Barbie: Super Model,1993-01-01,"DOS, PlayStation, Super Nintendo Entertainment System",action game
Barkley Shut Up and Jam!,1993-01-01,"PlayStation, Super Nintendo Entertainment System",sports video game
Base Jumpers,1995-01-01,Amiga CD32,platformer
Base Wars,1991-06-01,Nintendo Entertainment System,"science fiction video game, sports video game"
Baseball,1983-12-07,"Famicom Disk System, Nintendo Entertainment System",sports video game
Baseball Stars Professional,1990-01-01,"Microsoft Windows, Neo Geo, TurboGrafx-16, arcade video game",sports video game
Bases Loaded,1987-06-26,"Family Computer, Game Boy, Nintendo Entertainment System","baseball video game, sports video game"
Bases Loaded 4,1991-11-22,Nintendo Entertainment System,sports video game
Basic Math,1977-01-01,Atari 2600,educational video game
Bastard‼,1994-01-28,Super Nintendo Entertainment System,fighting game
Bastion,2011-07-20,"Google Chrome, Microsoft Windows, PlayStation 3, PlayStation Vita, Xbox One, iOS, macOS",action role-playing game
Baten Kaitos: Eternal Wings and the Lost Ocean,2003-12-05,Nintendo GameCube,role-playing video game
Batman,1989-01-01,"Amstrad CPC, Amstrad PCW, Atari ST, Commodore 64, DOS, MSX, ZX Spectrum","action-adventure game, arcade, beat 'em up, platformer, racing video game"
Batman & Robin,1998-08-07,PlayStation 2,action-adventure game
Batman: Arkham Asylum,2009-08-25,"Microsoft Windows, PlayStation 3, Xbox One, macOS",Metroidvania
Batman: Arkham City,2011-10-18,"Microsoft Windows, PlayStation 3, Wii U, Xbox One, macOS","action game, action-adventure game, adventure video game, beat 'em up, stealth game"
Batman: Arkham City Lockdown,2011-12-07,iOS,action-adventure game
Batman: Dark Tomorrow,2003-03-18,Nintendo GameCube,action-adventure game
Batman: Return of the Joker,1991-12-01,"Game Boy, Nintendo Entertainment System, PlayStation",action-adventure game
Batman: The Animated Series,1993-11-01,"Game Boy, Super Nintendo Entertainment System","action game, action-adventure game"
Batman: The Brave and the Bold – The Videogame,2010-09-07,"Nintendo DS, Wii",action-adventure game
Batman: The Caped Crusader,1988-01-01,"Amstrad CPC, Commodore 64, DOS, ZX Spectrum",action-adventure game
Batman: Vengeance,2001-10-15,"Microsoft Windows, Nintendo GameCube, PlayStation 4",action-adventure game
Battalion Wars 2,2007-10-29,Wii,"real-time tactics, third-person shooter"
Battle Arena Toshinden,1995-01-01,"DOS, PlayStation 2","3D fighting game, crossover fiction"
Battle Arena Toshinden 2,1995-01-01,"Microsoft Windows, PlayStation 2, arcade video game",3D fighting game
Battle Bugs,1997-09-18,"DOS, Microsoft Windows",real-time tactics
Battle Isle,1991-01-01,"DOS, Microsoft Windows",turn-based tactics
Battle Kid: Fortress of Peril,2010-02-22,"Nintendo Entertainment System, Xbox Series X and Series S",Metroidvania
Battle Raper 2,2005-04-22,Microsoft Windows,"eroge, fighting game"
Battle Realms,2001-11-07,Microsoft Windows,real-time strategy
Battlefield 1943,2009-07-08,"PlayStation 3, Xbox One",first-person shooter
Battlefield 2142,2006-10-17,"Microsoft Windows, macOS","first-person shooter, post-apocalyptic video game, science fiction video game"
Battlefield 2: Modern Combat,2005-10-24,"PlayStation 4, Xbox One",first-person shooter
Battlefield Online,2010-03-25,Microsoft Windows,first-person shooter
Battles of Prince of Persia,2005-12-06,Nintendo DS,"turn-based strategy video game, turn-based tactics"
Battletank,1990-09-01,Nintendo Entertainment System,simulation video game
Battletoads,1991-06-01,"Microsoft Windows, Nintendo Entertainment System, PlayStation",platformer
Battletoads in Battlemaniacs,1993-06-01,Super Nintendo Entertainment System,"beat 'em up, platformer"
Battlezone,1980-11-01,"Atari 2600, Atari ST, Commodore 64, Commodore VIC-20, DOS, Microsoft Windows, PlayStation Portable, ZX Spectrum","first-person shooter, real-time strategy, science fiction video game, simulation video game, vehicular combat game"
Battlezone II: Combat Commander,1999-01-01,Microsoft Windows,"first-person shooter, real-time strategy, science fiction video game"
Battlezone: Rise of the Black Dogs,2000-03-01,Nintendo 64,real-time strategy
Beach Head,1985-01-01,"Amstrad CPC, Atari 8-bit family, BBC Micro, Commodore 64, MSX, Thomson MO5, Thomson TO7, ZX Spectrum",run and gun
Beach Spikers,2002-07-19,"Nintendo GameCube, arcade video game",beach volleyball video game
Beach Volley,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",sports video game
Beatmania IIDX 10th Style,2004-02-16,PlayStation 4,music video game
Beatmania IIDX 7th Style,2004-03-13,PlayStation 4,music video game
Beatmania IIDX 8th Style,2002-09-27,PlayStation 4,music video game
Beatmania IIDX 9th Style,2005-03-21,PlayStation 4,music video game
Beavis and Butt-head,1994-01-01,"Game Boy, PlayStation, Super Nintendo Entertainment System",action-adventure game
Beetle Adventure Racing!,1999-02-28,Nintendo 64,racing video game
Bejeweled,2001-05-30,"Classic Mac OS, Facebook, Java Platform, Micro Edition, Microsoft Windows, Windows Phone, iOS, macOS, web browser",puzzle video game
Below the Root,1984-01-01,"Apple II, Commodore 64, DOS",adventure video game
Ben 10 Alien Force: Vilgax Attacks,2009-10-27,"PlayStation 4, Wii, Xbox One",action-adventure game
Ben 10 Ultimate Alien: Cosmic Destruction,2010-10-05,"Nintendo DS, PlayStation 3, PlayStation 4, Wii, Xbox One",action-adventure game
Ben 10: Alien Force,2008-10-28,"Nintendo DS, PlayStation 4, PlayStation Portable, Wii",action-adventure game
Ben 10: Galactic Racing,2011-10-18,"Nintendo 3DS, Nintendo DS, PlayStation 3, PlayStation Vita, Wii, Xbox One",racing video game
Ben 10: Omniverse,2012-11-13,"Nintendo DS, PlayStation 3, Wii, Wii U, Xbox One",action game
Beneath a Steel Sky,1994-03-07,"Amiga CD32, DOS, Microsoft Windows, iOS, macOS","adventure video game, cyberpunk video game, point-and-click adventure, science fiction video game"
Beowulf: The Game,2007-11-13,"Microsoft Windows, PlayStation 3, PlayStation Portable, Xbox One",action game
Bermuda Syndrome,1995-01-01,Microsoft Windows,platformer
Berzerk,1980-11-12,"Atari 2600, Atari 5200, Vectrex, Zilog Z80, arcade video game","maze video game, shoot 'em up"
Betrayal at Krondor,1993-06-22,"DOS, Microsoft Windows",role-playing video game
Betrayal in Antara,1997-07-31,Microsoft Windows,role-playing video game
Beyond Divinity,2004-01-01,"Microsoft Windows, macOS",role-playing video game
Beyond Oasis,1994-12-12,"Microsoft Windows, PlayStation, macOS",action role-playing game
Beyond the Forbidden Forest,1985-01-01,Commodore 64,shoot 'em up
Beyond: Two Souls,2013-10-08,"Microsoft Windows, PlayStation 3","action-adventure game, interactive film, science fiction video game"
Bible Adventures,1991-01-01,"Nintendo Entertainment System, PlayStation","Christian video game, side-scrolling video game"
Bible Black,2006-11-21,"Microsoft Windows, PlayStation Portable","eroge, fantasy anime and manga, hentai, horror anime and manga, visual novel"
Big Brain Academy,2005-06-30,"Nintendo DS, Wii U",puzzle video game
Big Brain Academy: Wii Degree,2007-04-26,Wii,puzzle video game
Big Rigs: Over the Road Racing,2003-11-20,Microsoft Windows,racing video game
"Biing!: Sex, Intrigue and Scalpels",1995-01-01,Unknown,simulation video game
Biko 3,2004-01-01,Microsoft Windows,action-adventure game
Bill's Tomato Game,1992-01-01,Atari ST,puzzle video game
Binary Land,1985-12-19,"MSX, Nintendo Entertainment System",puzzle video game
Binary Pot,,Microsoft Windows,Unknown
Bio Miracle Bokutte Upa,1988-04-22,"Famicom Disk System, Nintendo Entertainment System",platformer
BioForge,1995-03-29,DOS,"action-adventure game, cyberpunk video game, science fiction video game"
BioShock,2007-08-21,"Microsoft Windows, PlayStation 3, Xbox One, iOS, macOS","first-person shooter, science fiction video game, video game with LGBT character"
BioShock 2,2010-02-09,"Microsoft Windows, PlayStation 3, Xbox One, macOS",first-person shooter
BioShock Infinite,2013-03-26,"Microsoft Windows, PlayStation 3, Xbox One, macOS",first-person shooter
Biomotor Unitron,1999-04-15,Unknown,role-playing video game
Bionic Commando,1987-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, Microsoft Windows, Nintendo Entertainment System, PlayStation 3, Xbox One, ZX Spectrum","Metroidvania, action game, platformer"
Birth of the Empires,2006-08-28,Unknown,strategy video game
Birth of the Federation,1999-04-30,"Microsoft Windows, personal computer",turn-based strategy video game
BiteFight,2006-02-01,web browser,massively multiplayer browser role-playing game
Bittersweet Fools,2001-08-31,"Microsoft Windows, PlayStation 4","eroge, visual novel"
Black & White,2001-03-25,"Classic Mac OS, Microsoft Windows, macOS","god game, simulation video game"
Black Gold,1989-01-01,"Atari ST, Commodore 64, DOS",business simulation game
Black Mesa,2020-03-06,Microsoft Windows,"first-person shooter, science fiction video game"
Black Mirror II: Reigning Evil,2009-01-01,Microsoft Windows,adventure video game
Black Prophecy,2011-03-21,Microsoft Windows,"massively multiplayer online role-playing game, science fiction video game, space trading and combat game"
Blackthorne,1994-01-01,"Classic Mac OS, DOS, Mac operating system, PlayStation, Super Nintendo Entertainment System",action game
Blade & Soul,2012-06-30,"Microsoft Windows, PlayStation 3, iOS",massively multiplayer online role-playing game
Blade Runner,1997-10-31,Microsoft Windows,"adventure video game, cyberpunk video game"
Bladestorm: The Hundred Years' War,2007-08-30,"PlayStation 3, Xbox One",real-time tactics
Blake Stone: Aliens of Gold,1993-12-03,"DOS, Microsoft Windows, macOS","first-person shooter, science fiction video game"
Blast Corps,1997-03-21,Nintendo 64,"action game, puzzle video game"
"Blast Works: Build, Trade, Destroy",2008-06-10,Wii,"action game, shoot 'em up, shooter game"
Blasteroids,1987-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, MSX, ZX Spectrum","action game, shoot 'em up"
BlazBlue: Calamity Trigger,2008-11-19,"Microsoft Windows, PlayStation 3, Xbox One, arcade video game",airdasher
Blazing Angels 2: Secret Missions of WWII,2007-09-07,"Microsoft Windows, PlayStation 3, Xbox One",flight simulation video game
Blazing Lazers,1989-07-07,"PlayStation Portable, TurboGrafx-16, Wii U",shoot 'em up
Bleach: Dark Souls,2007-02-15,Nintendo DS,2D fighting game
Bleach: Soul Resurrección,2011-06-23,PlayStation 3,action game
Bleach: The 3rd Phantom,2008-06-26,Nintendo DS,tactical role-playing game
Bleach: The Blade of Fate,2006-01-26,Nintendo DS,fighting game
Blitz,1982-01-01,Commodore VIC-20,fixed shooter
Blob Wars: Metal Blob Solid,2003-12-01,"Berkeley Software Distribution, Microsoft Windows, macOS","action-adventure game, platformer"
Blobby Volley,2000-11-01,"Microsoft Windows, iOS, macOS","casual game, sports video game"
Block Breaker Deluxe,2008-05-07,"Microsoft Windows, Wii",Breakout clone
Block Hole,1990-03-16,"Game Boy, MSX, Nintendo Entertainment System, Wii U",shoot 'em up
Blockland,2004-11-15,Microsoft Windows,sandbox game
Blockout,1989-10-01,"Apple IIGS, Atari Lynx, Atari ST, Classic Mac OS, Commodore 64, DOS, NEC PC-9800 series, PlayStation, arcade video game",puzzle video game
Blocks That Matter,2011-08-19,"Microsoft Windows, Xbox One, macOS","platformer, puzzle video game"
Blood,1997-05-31,"DOS, Microsoft Windows",first-person shooter
Blood 'n Guts,1986-01-01,Commodore 64,sports video game
Blood Money,1989-01-06,"Atari ST, Commodore 64, DOS","science fiction video game, shoot 'em up, side-scrolling video game"
Blood Omen 2,2002-03-21,"Microsoft Windows, Nintendo GameCube, PlayStation 4",action-adventure game
BloodRayne 2,2004-10-12,"Microsoft Windows, PlayStation 4","action-adventure game, vampire video game"
Bloodstone: An Epic Dwarven Tale,1993-01-01,DOS,role-playing video game
Bloodwych,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, Microsoft Windows, ZX Spectrum",role-playing video game
Bloody Roar 4,2003-11-11,PlayStation 4,fighting game
Blue Dragon,2006-12-07,Xbox One,role-playing video game
Blue Lightning,1989-01-01,"Atari Lynx, Microsoft Windows","action game, flight simulation video game"
Blue Max,1983-01-01,"Commodore 64, ZX Spectrum",action game
Blur,2010-05-25,"Microsoft Windows, PlayStation 3, Xbox One","racing video game, vehicular combat game"
Bobby Is Going Home,1983-01-01,Atari 2600,platformer
Body Blows,1993-01-01,"Amiga 1200, DOS",fighting game
Body Harvest,1998-10-20,Nintendo 64,"action-adventure game, third-person shooter"
Boiling Point: Road to Hell,2005-05-20,Microsoft Windows,"first-person shooter, role-playing video game"
Boin,2004-09-24,"Microsoft Windows, PlayStation Portable","eroge, harem, hentai, visual novel"
Bokosuka Wars,1985-12-14,"FM-7, MSX, Nintendo Entertainment System, Sharp X1","role-playing video game, strategy video game"
Boktai: The Sun Is in Your Hand,2003-07-17,Unknown,action role-playing game
Bolo,1987-01-01,Atari ST,Breakout clone
Bolt,2008-11-18,"Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, Wii, Xbox One",action-adventure game
Bomb Jack,1984-03-22,"Amstrad CPC, Atari ST, Commodore 64, Game Boy, Java virtual machine, MSX, PlayStation 4, SG-1000, ZX Spectrum",platformer
Bomberman GB 3,1996-01-01,Game Boy,action game
Bomberman Generation,2002-06-03,Nintendo GameCube,action-adventure game
Bomberman Hero,1998-04-30,Nintendo 64,"maze video game, platformer"
Bomberman II,1991-01-01,Nintendo Entertainment System,maze video game
Bomberman Land Touch!,2006-07-20,Nintendo DS,"crossover fiction, maze video game"
Bomberman Touch,2008-07-10,iOS,"maze video game, strategy video game"
Bonanza Bros.,1991-05-17,"Amstrad CPC, Commodore 64, Microsoft Windows, PlayStation, TurboGrafx-16, Wii, ZX Spectrum, macOS","action game, platformer, side-scrolling video game, stealth game"
Bone: Out from Boneville,2005-09-15,Microsoft Windows,adventure video game
Bonecruncher,1987-01-01,"Acorn Electron, Commodore 64",rocks-and-diamonds video game
Bonk's Adventure,1989-12-15,"Nintendo Entertainment System, PlayStation 3, PlayStation 4, PlayStation Portable, TurboGrafx-16, Wii, Wii U, iOS","action-adventure game, platformer"
Bonka,1983-01-01,Unknown,platformer
Boom Blox,2008-05-06,Wii,puzzle video game
Boom Boom Rocket,2007-04-11,Xbox One,music video game
Border Break,2009-09-09,arcade video game,"action game, arcade"
Border Down,2003-09-25,arcade video game,shoot 'em up
Border Zone,1987-10-08,"Atari ST, Classic Mac OS, Commodore 64, DOS",interactive fiction
